|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|                      |       |none  |     0|f1    |↑  |0.3309|±  |   N/A|
|afrisenti_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.4087|±  |0.0081|
|                      |       |none  |     0|f1    |↑  |0.3357|±  |   N/A|
|afrisenti_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.4400|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.3066|±  |   N/A|
|afrisenti_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3756|±  |0.0080|
|                      |       |none  |     0|f1    |↑  |0.3426|±  |   N/A|
|afrisenti_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.4544|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.3234|±  |   N/A|
|afrisenti_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3433|±  |0.0078|
|                      |       |none  |     0|f1    |↑  |0.2543|±  |   N/A|
|afrisenti_kin_prompt_1|      1|none  |     0|acc   |↑  |0.2953|±  |0.0142|
|                      |       |none  |     0|f1    |↑  |0.1743|±  |   N/A|
|afrisenti_kin_prompt_2|      1|none  |     0|acc   |↑  |0.2788|±  |0.0140|
|                      |       |none  |     0|f1    |↑  |0.1442|±  |   N/A|
|afrisenti_kin_prompt_3|      1|none  |     0|acc   |↑  |0.4016|±  |0.0153|
|                      |       |none  |     0|f1    |↑  |0.3099|±  |   N/A|
|afrisenti_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3821|±  |0.0152|
|                      |       |none  |     0|f1    |↑  |0.2754|±  |   N/A|
|afrisenti_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3743|±  |0.0151|
|                      |       |none  |     0|f1    |↑  |0.2685|±  |   N/A|
|afrisenti_orm_prompt_1|      1|none  |     0|acc   |↑  |0.2281|±  |0.0092|
|                      |       |none  |     0|f1    |↑  |0.1022|±  |   N/A|
|afrisenti_orm_prompt_2|      1|none  |     0|acc   |↑  |0.2409|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.1476|±  |   N/A|
|afrisenti_orm_prompt_3|      1|none  |     0|acc   |↑  |0.4008|±  |0.0107|
|                      |       |none  |     0|f1    |↑  |0.3729|±  |   N/A|
|afrisenti_orm_prompt_4|      1|none  |     0|acc   |↑  |0.4084|±  |0.0107|
|                      |       |none  |     0|f1    |↑  |0.3056|±  |   N/A|
|afrisenti_orm_prompt_5|      1|none  |     0|acc   |↑  |0.3464|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.2250|±  |   N/A|
|afrisenti_pcm_prompt_1|      1|none  |     0|acc   |↑  |0.3245|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.1996|±  |   N/A|
|afrisenti_pcm_prompt_2|      1|none  |     0|acc   |↑  |0.2015|±  |0.0062|
|                      |       |none  |     0|f1    |↑  |0.1427|±  |   N/A|
|afrisenti_pcm_prompt_3|      1|none  |     0|acc   |↑  |0.6283|±  |0.0075|
|                      |       |none  |     0|f1    |↑  |0.6234|±  |   N/A|
|afrisenti_pcm_prompt_4|      1|none  |     0|acc   |↑  |0.2082|±  |0.0063|
|                      |       |none  |     0|f1    |↑  |0.2123|±  |   N/A|
|afrisenti_pcm_prompt_5|      1|none  |     0|acc   |↑  |0.6468|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.5990|±  |   N/A|
|afrisenti_por_prompt_1|      1|none  |     0|acc   |↑  |0.2045|±  |0.0067|
|                      |       |none  |     0|f1    |↑  |0.1168|±  |   N/A|
|afrisenti_por_prompt_2|      1|none  |     0|acc   |↑  |0.1816|±  |0.0064|
|                      |       |none  |     0|f1    |↑  |0.0720|±  |   N/A|
|afrisenti_por_prompt_3|      1|none  |     0|acc   |↑  |0.5437|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.5573|±  |   N/A|
|afrisenti_por_prompt_4|      1|none  |     0|acc   |↑  |0.6641|±  |0.0078|
|                      |       |none  |     0|f1    |↑  |0.6353|±  |   N/A|
|afrisenti_por_prompt_5|      1|none  |     0|acc   |↑  |0.3058|±  |0.0076|
|                      |       |none  |     0|f1    |↑  |0.1846|±  |   N/A|
|afrisenti_swa_prompt_1|      1|none  |     0|acc   |↑  |0.3663|±  |0.0176|
|                      |       |none  |     0|f1    |↑  |0.3172|±  |   N/A|
|afrisenti_swa_prompt_2|      1|none  |     0|acc   |↑  |0.4505|±  |0.0182|
|                      |       |none  |     0|f1    |↑  |0.4365|±  |   N/A|
|afrisenti_swa_prompt_3|      1|none  |     0|acc   |↑  |0.3463|±  |0.0174|
|                      |       |none  |     0|f1    |↑  |0.3555|±  |   N/A|
|afrisenti_swa_prompt_4|      1|none  |     0|acc   |↑  |0.4746|±  |0.0183|
|                      |       |none  |     0|f1    |↑  |0.4728|±  |   N/A|
|afrisenti_swa_prompt_5|      1|none  |     0|acc   |↑  |0.2674|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.2496|±  |   N/A|
|afrisenti_tir_prompt_1|      1|none  |     0|acc   |↑  |0.3225|±  |0.0105|
|                      |       |none  |     0|f1    |↑  |0.1748|±  |   N/A|
|afrisenti_tir_prompt_2|      1|none  |     0|acc   |↑  |0.3165|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.1787|±  |   N/A|
|afrisenti_tir_prompt_3|      1|none  |     0|acc   |↑  |0.2210|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.1427|±  |   N/A|
|afrisenti_tir_prompt_4|      1|none  |     0|acc   |↑  |0.1940|±  |0.0088|
|                      |       |none  |     0|f1    |↑  |0.0700|±  |   N/A|
|afrisenti_tir_prompt_5|      1|none  |     0|acc   |↑  |0.4940|±  |0.0112|
|                      |       |none  |     0|f1    |↑  |0.3633|±  |   N/A|
|afrisenti_tso_prompt_1|      1|none  |     0|acc   |↑  |0.4055|±  |0.0309|
|                      |       |none  |     0|f1    |↑  |0.3167|±  |   N/A|
|afrisenti_tso_prompt_2|      1|none  |     0|acc   |↑  |0.3622|±  |0.0302|
|                      |       |none  |     0|f1    |↑  |0.3016|±  |   N/A|
|afrisenti_tso_prompt_3|      1|none  |     0|acc   |↑  |0.2835|±  |0.0283|
|                      |       |none  |     0|f1    |↑  |0.2776|±  |   N/A|
|afrisenti_tso_prompt_4|      1|none  |     0|acc   |↑  |0.2126|±  |0.0257|
|                      |       |none  |     0|f1    |↑  |0.1606|±  |   N/A|
|afrisenti_tso_prompt_5|      1|none  |     0|acc   |↑  |0.4291|±  |0.0311|
|                      |       |none  |     0|f1    |↑  |0.3801|±  |   N/A|
|afrisenti_twi_prompt_1|      1|none  |     0|acc   |↑  |0.3151|±  |0.0151|
|                      |       |none  |     0|f1    |↑  |0.2700|±  |   N/A|
|afrisenti_twi_prompt_2|      1|none  |     0|acc   |↑  |0.2603|±  |0.0143|
|                      |       |none  |     0|f1    |↑  |0.2183|±  |   N/A|
|afrisenti_twi_prompt_3|      1|none  |     0|acc   |↑  |0.3172|±  |0.0151|
|                      |       |none  |     0|f1    |↑  |0.3121|±  |   N/A|
|afrisenti_twi_prompt_4|      1|none  |     0|acc   |↑  |0.1749|±  |0.0123|
|                      |       |none  |     0|f1    |↑  |0.0896|±  |   N/A|
|afrisenti_twi_prompt_5|      1|none  |     0|acc   |↑  |0.4268|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.4267|±  |   N/A|
|afrisenti_yor_prompt_1|      1|none  |     0|acc   |↑  |0.4022|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.3461|±  |   N/A|
|afrisenti_yor_prompt_2|      1|none  |     0|acc   |↑  |0.3697|±  |0.0072|
|                      |       |none  |     0|f1    |↑  |0.2653|±  |   N/A|
|afrisenti_yor_prompt_3|      1|none  |     0|acc   |↑  |0.4241|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.3865|±  |   N/A|
|afrisenti_yor_prompt_4|      1|none  |     0|acc   |↑  |0.3535|±  |0.0071|
|                      |       |none  |     0|f1    |↑  |0.2527|±  |   N/A|
|afrisenti_yor_prompt_5|      1|none  |     0|acc   |↑  |0.2808|±  |0.0067|
|                      |       |none  |     0|f1    |↑  |0.2112|±  |   N/A|
