Tasks,Metric,Value,Stderr
afrisenti_orm_prompt_3,acc,0.3521,0.0104
afrisenti_orm_prompt_3,f1,0.2341,
afrisenti_orm_prompt_4,acc,0.3454,0.0104
afrisenti_orm_prompt_4,f1,0.2983,
afrisenti_orm_prompt_5,acc,0.3416,0.0104
afrisenti_orm_prompt_5,f1,0.2309,
afrisenti_pcm_prompt_1,acc,0.3233,0.0073
afrisenti_pcm_prompt_1,f1,0.3633,
afrisenti_pcm_prompt_2,acc,0.2058,0.0063
afrisenti_pcm_prompt_2,f1,0.2052,
afrisenti_pcm_prompt_3,acc,0.6921,0.0072
afrisenti_pcm_prompt_3,f1,0.6629,
afrisenti_pcm_prompt_4,acc,0.6700,0.0073
afrisenti_pcm_prompt_4,f1,0.6580,
afrisenti_pcm_prompt_5,acc,0.6526,0.0074
afrisenti_pcm_prompt_5,f1,0.6365,
afrisenti_por_prompt_1,acc,0.3880,0.0081
afrisenti_por_prompt_1,f1,0.3589,
afrisenti_por_prompt_2,acc,0.4274,0.0082
afrisenti_por_prompt_2,f1,0.4381,
afrisenti_por_prompt_3,acc,0.3269,0.0078
afrisenti_por_prompt_3,f1,0.2115,
afrisenti_por_prompt_4,acc,0.4088,0.0081
afrisenti_por_prompt_4,f1,0.3638,
afrisenti_por_prompt_5,acc,0.3108,0.0076
afrisenti_por_prompt_5,f1,0.1894,
afrisenti_swa_prompt_1,acc,0.5027,0.0183
afrisenti_swa_prompt_1,f1,0.5090,
afrisenti_swa_prompt_2,acc,0.5508,0.0182
afrisenti_swa_prompt_2,f1,0.5189,
afrisenti_swa_prompt_3,acc,0.2687,0.0162
afrisenti_swa_prompt_3,f1,0.1834,
afrisenti_swa_prompt_4,acc,0.4291,0.0181
afrisenti_swa_prompt_4,f1,0.4350,
afrisenti_swa_prompt_5,acc,0.2995,0.0168
afrisenti_swa_prompt_5,f1,0.2241,
afrisenti_tir_prompt_1,acc,0.4140,0.0110
afrisenti_tir_prompt_1,f1,0.3968,
afrisenti_tir_prompt_2,acc,0.5005,0.0112
afrisenti_tir_prompt_2,f1,0.4635,
afrisenti_tir_prompt_3,acc,0.4900,0.0112
afrisenti_tir_prompt_3,f1,0.3294,
afrisenti_tir_prompt_4,acc,0.5030,0.0112
afrisenti_tir_prompt_4,f1,0.3726,
afrisenti_tir_prompt_5,acc,0.4940,0.0112
afrisenti_tir_prompt_5,f1,0.3567,
afrisenti_tso_prompt_1,acc,0.3740,0.0304
afrisenti_tso_prompt_1,f1,0.3790,
afrisenti_tso_prompt_2,acc,0.4528,0.0313
afrisenti_tso_prompt_2,f1,0.4229,
afrisenti_tso_prompt_3,acc,0.5236,0.0314
afrisenti_tso_prompt_3,f1,0.4918,
afrisenti_tso_prompt_4,acc,0.4370,0.0312
afrisenti_tso_prompt_4,f1,0.4446,
afrisenti_tso_prompt_5,acc,0.4213,0.0310
afrisenti_tso_prompt_5,f1,0.4005,
afrisenti_twi_prompt_1,acc,0.3446,0.0154
afrisenti_twi_prompt_1,f1,0.3382,
afrisenti_twi_prompt_2,acc,0.4247,0.0161
afrisenti_twi_prompt_2,f1,0.3993,
afrisenti_twi_prompt_3,acc,0.5132,0.0162
afrisenti_twi_prompt_3,f1,0.4780,
afrisenti_twi_prompt_4,acc,0.4310,0.0161
afrisenti_twi_prompt_4,f1,0.4472,
afrisenti_twi_prompt_5,acc,0.4742,0.0162
afrisenti_twi_prompt_5,f1,0.4419,
afrisenti_yor_prompt_1,acc,0.4292,0.0074
afrisenti_yor_prompt_1,f1,0.3978,
afrisenti_yor_prompt_2,acc,0.4390,0.0074
afrisenti_yor_prompt_2,f1,0.3852,
afrisenti_yor_prompt_3,acc,0.3169,0.0069
afrisenti_yor_prompt_3,f1,0.2496,
afrisenti_yor_prompt_4,acc,0.3860,0.0072
afrisenti_yor_prompt_4,f1,0.3615,
afrisenti_yor_prompt_5,acc,0.3247,0.0070
afrisenti_yor_prompt_5,f1,0.2756,
