|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|afriqa_hau_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1267|±  |0.0192|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1647|±  |   N/A|
|afriqa_hau_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1433|±  |0.0203|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1916|±  |   N/A|
|afriqa_hau_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0367|±  |0.0109|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1231|±  |   N/A|
|afriqa_hau_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0833|±  |0.0160|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1551|±  |   N/A|
|afriqa_hau_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1433|±  |0.0203|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1793|±  |   N/A|
|afriqa_ibo_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1736|±  |0.0188|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2341|±  |   N/A|
|afriqa_ibo_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1320|±  |0.0168|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2367|±  |   N/A|
|afriqa_ibo_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0196|±  |0.0069|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1692|±  |   N/A|
|afriqa_ibo_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1174|±  |0.0159|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2301|±  |   N/A|
|afriqa_ibo_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1320|±  |0.0168|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1933|±  |   N/A|
|afriqa_kin_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1652|±  |0.0200|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2584|±  |   N/A|
|afriqa_kin_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1333|±  |0.0183|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2426|±  |   N/A|
|afriqa_kin_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0609|±  |0.0129|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1933|±  |   N/A|
|afriqa_kin_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1188|±  |0.0174|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2624|±  |   N/A|
|afriqa_kin_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1043|±  |0.0165|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1886|±  |   N/A|
|afriqa_swa_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.2814|±  |0.0262|
|                   |       |remove_whitespace|     0|f1         |↑  |0.3708|±  |   N/A|
|afriqa_swa_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.3119|±  |0.0270|
|                   |       |remove_whitespace|     0|f1         |↑  |0.4240|±  |   N/A|
|afriqa_swa_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.1288|±  |0.0195|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2721|±  |   N/A|
|afriqa_swa_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.2237|±  |0.0243|
|                   |       |remove_whitespace|     0|f1         |↑  |0.3524|±  |   N/A|
|afriqa_swa_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.2542|±  |0.0254|
|                   |       |remove_whitespace|     0|f1         |↑  |0.3541|±  |   N/A|
|afriqa_twi_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1276|±  |0.0151|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1772|±  |   N/A|
|afriqa_twi_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1091|±  |0.0142|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1824|±  |   N/A|
|afriqa_twi_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0247|±  |0.0070|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1358|±  |   N/A|
|afriqa_twi_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0700|±  |0.0116|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1612|±  |   N/A|
|afriqa_twi_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0679|±  |0.0114|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1240|±  |   N/A|
|afriqa_yor_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1265|±  |0.0209|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1803|±  |   N/A|
|afriqa_yor_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1067|±  |0.0194|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1707|±  |   N/A|
|afriqa_yor_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0079|±  |0.0056|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0978|±  |   N/A|
|afriqa_yor_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0830|±  |0.0174|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1696|±  |   N/A|
|afriqa_yor_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1186|±  |0.0204|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1687|±  |   N/A|
|afriqa_zul_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.0985|±  |0.0166|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1624|±  |   N/A|
|afriqa_zul_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.0985|±  |0.0166|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1670|±  |   N/A|
|afriqa_zul_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0123|±  |0.0061|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1106|±  |   N/A|
|afriqa_zul_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0708|±  |0.0142|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1777|±  |   N/A|
|afriqa_zul_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0800|±  |0.0151|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1347|±  |   N/A|
