|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|                      |       |none  |     0|f1    |↑  |0.1136|±  |   N/A|
|afrisenti_por_prompt_2|      1|none  |     0|acc   |↑  |0.1868|±  |0.0064|
|                      |       |none  |     0|f1    |↑  |0.0843|±  |   N/A|
|afrisenti_por_prompt_3|      1|none  |     0|acc   |↑  |0.4134|±  |0.0081|
|                      |       |none  |     0|f1    |↑  |0.4074|±  |   N/A|
|afrisenti_por_prompt_4|      1|none  |     0|acc   |↑  |0.6587|±  |0.0078|
|                      |       |none  |     0|f1    |↑  |0.6630|±  |   N/A|
|afrisenti_por_prompt_5|      1|none  |     0|acc   |↑  |0.4036|±  |0.0081|
|                      |       |none  |     0|f1    |↑  |0.3740|±  |   N/A|
|afrisenti_swa_prompt_1|      1|none  |     0|acc   |↑  |0.2995|±  |0.0168|
|                      |       |none  |     0|f1    |↑  |0.1380|±  |   N/A|
|afrisenti_swa_prompt_2|      1|none  |     0|acc   |↑  |0.2995|±  |0.0168|
|                      |       |none  |     0|f1    |↑  |0.1380|±  |   N/A|
|afrisenti_swa_prompt_3|      1|none  |     0|acc   |↑  |0.4358|±  |0.0181|
|                      |       |none  |     0|f1    |↑  |0.4483|±  |   N/A|
|afrisenti_swa_prompt_4|      1|none  |     0|acc   |↑  |0.5481|±  |0.0182|
|                      |       |none  |     0|f1    |↑  |0.5212|±  |   N/A|
|afrisenti_swa_prompt_5|      1|none  |     0|acc   |↑  |0.3289|±  |0.0172|
|                      |       |none  |     0|f1    |↑  |0.3184|±  |   N/A|
|afrisenti_tir_prompt_1|      1|none  |     0|acc   |↑  |0.3215|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.1564|±  |   N/A|
|afrisenti_tir_prompt_2|      1|none  |     0|acc   |↑  |0.3210|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.1572|±  |   N/A|
|afrisenti_tir_prompt_3|      1|none  |     0|acc   |↑  |0.3130|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.3021|±  |   N/A|
|afrisenti_tir_prompt_4|      1|none  |     0|acc   |↑  |0.2365|±  |0.0095|
|                      |       |none  |     0|f1    |↑  |0.1713|±  |   N/A|
|afrisenti_tir_prompt_5|      1|none  |     0|acc   |↑  |0.3575|±  |0.0107|
|                      |       |none  |     0|f1    |↑  |0.3002|±  |   N/A|
|afrisenti_tso_prompt_1|      1|none  |     0|acc   |↑  |0.4803|±  |0.0314|
|                      |       |none  |     0|f1    |↑  |0.3420|±  |   N/A|
|afrisenti_tso_prompt_2|      1|none  |     0|acc   |↑  |0.4843|±  |0.0314|
|                      |       |none  |     0|f1    |↑  |0.3366|±  |   N/A|
|afrisenti_tso_prompt_3|      1|none  |     0|acc   |↑  |0.4528|±  |0.0313|
|                      |       |none  |     0|f1    |↑  |0.4537|±  |   N/A|
|afrisenti_tso_prompt_4|      1|none  |     0|acc   |↑  |0.2559|±  |0.0274|
|                      |       |none  |     0|f1    |↑  |0.2294|±  |   N/A|
|afrisenti_tso_prompt_5|      1|none  |     0|acc   |↑  |0.4409|±  |0.0312|
|                      |       |none  |     0|f1    |↑  |0.4276|±  |   N/A|
|afrisenti_twi_prompt_1|      1|none  |     0|acc   |↑  |0.4731|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.3048|±  |   N/A|
|afrisenti_twi_prompt_2|      1|none  |     0|acc   |↑  |0.4742|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.3071|±  |   N/A|
|afrisenti_twi_prompt_3|      1|none  |     0|acc   |↑  |0.3878|±  |0.0158|
|                      |       |none  |     0|f1    |↑  |0.4065|±  |   N/A|
|afrisenti_twi_prompt_4|      1|none  |     0|acc   |↑  |0.2266|±  |0.0136|
|                      |       |none  |     0|f1    |↑  |0.1986|±  |   N/A|
|afrisenti_twi_prompt_5|      1|none  |     0|acc   |↑  |0.4226|±  |0.0160|
|                      |       |none  |     0|f1    |↑  |0.4238|±  |   N/A|
|afrisenti_yor_prompt_1|      1|none  |     0|acc   |↑  |0.4248|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.2533|±  |   N/A|
|afrisenti_yor_prompt_2|      1|none  |     0|acc   |↑  |0.4133|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.2525|±  |   N/A|
|afrisenti_yor_prompt_3|      1|none  |     0|acc   |↑  |0.4093|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.3982|±  |   N/A|
|afrisenti_yor_prompt_4|      1|none  |     0|acc   |↑  |0.3816|±  |0.0072|
|                      |       |none  |     0|f1    |↑  |0.2511|±  |   N/A|
|afrisenti_yor_prompt_5|      1|none  |     0|acc   |↑  |0.4310|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.4299|±  |   N/A|
