|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|                      |       |none  |     0|f1    |↑  |0.0502|±  |   N/A|
|afrisenti_por_prompt_2|      1|none  |     0|acc   |↑  |0.1723|±  |0.0062|
|                      |       |none  |     0|f1    |↑  |0.0519|±  |   N/A|
|afrisenti_por_prompt_3|      1|none  |     0|acc   |↑  |0.3509|±  |0.0079|
|                      |       |none  |     0|f1    |↑  |0.2379|±  |   N/A|
|afrisenti_por_prompt_4|      1|none  |     0|acc   |↑  |0.3299|±  |0.0078|
|                      |       |none  |     0|f1    |↑  |0.2174|±  |   N/A|
|afrisenti_por_prompt_5|      1|none  |     0|acc   |↑  |0.3394|±  |0.0078|
|                      |       |none  |     0|f1    |↑  |0.2368|±  |   N/A|
|afrisenti_swa_prompt_1|      1|none  |     0|acc   |↑  |0.2995|±  |0.0168|
|                      |       |none  |     0|f1    |↑  |0.1380|±  |   N/A|
|afrisenti_swa_prompt_2|      1|none  |     0|acc   |↑  |0.3035|±  |0.0168|
|                      |       |none  |     0|f1    |↑  |0.1463|±  |   N/A|
|afrisenti_swa_prompt_3|      1|none  |     0|acc   |↑  |0.3783|±  |0.0177|
|                      |       |none  |     0|f1    |↑  |0.3642|±  |   N/A|
|afrisenti_swa_prompt_4|      1|none  |     0|acc   |↑  |0.3757|±  |0.0177|
|                      |       |none  |     0|f1    |↑  |0.3445|±  |   N/A|
|afrisenti_swa_prompt_5|      1|none  |     0|acc   |↑  |0.4051|±  |0.0180|
|                      |       |none  |     0|f1    |↑  |0.4043|±  |   N/A|
|afrisenti_tir_prompt_1|      1|none  |     0|acc   |↑  |0.3215|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.1564|±  |   N/A|
|afrisenti_tir_prompt_2|      1|none  |     0|acc   |↑  |0.3215|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.1564|±  |   N/A|
|afrisenti_tir_prompt_3|      1|none  |     0|acc   |↑  |0.6440|±  |0.0107|
|                      |       |none  |     0|f1    |↑  |0.5806|±  |   N/A|
|afrisenti_tir_prompt_4|      1|none  |     0|acc   |↑  |0.5955|±  |0.0110|
|                      |       |none  |     0|f1    |↑  |0.5122|±  |   N/A|
|afrisenti_tir_prompt_5|      1|none  |     0|acc   |↑  |0.5730|±  |0.0111|
|                      |       |none  |     0|f1    |↑  |0.4847|±  |   N/A|
|afrisenti_tso_prompt_1|      1|none  |     0|acc   |↑  |0.4764|±  |0.0314|
|                      |       |none  |     0|f1    |↑  |0.3074|±  |   N/A|
|afrisenti_tso_prompt_2|      1|none  |     0|acc   |↑  |0.4764|±  |0.0314|
|                      |       |none  |     0|f1    |↑  |0.3074|±  |   N/A|
|afrisenti_tso_prompt_3|      1|none  |     0|acc   |↑  |0.6024|±  |0.0308|
|                      |       |none  |     0|f1    |↑  |0.5984|±  |   N/A|
|afrisenti_tso_prompt_4|      1|none  |     0|acc   |↑  |0.4409|±  |0.0312|
|                      |       |none  |     0|f1    |↑  |0.4069|±  |   N/A|
|afrisenti_tso_prompt_5|      1|none  |     0|acc   |↑  |0.5669|±  |0.0312|
|                      |       |none  |     0|f1    |↑  |0.5516|±  |   N/A|
|afrisenti_twi_prompt_1|      1|none  |     0|acc   |↑  |0.4742|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.3051|±  |   N/A|
|afrisenti_twi_prompt_2|      1|none  |     0|acc   |↑  |0.4742|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.3051|±  |   N/A|
|afrisenti_twi_prompt_3|      1|none  |     0|acc   |↑  |0.5448|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.5203|±  |   N/A|
|afrisenti_twi_prompt_4|      1|none  |     0|acc   |↑  |0.4837|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.4207|±  |   N/A|
|afrisenti_twi_prompt_5|      1|none  |     0|acc   |↑  |0.5090|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.4532|±  |   N/A|
|afrisenti_yor_prompt_1|      1|none  |     0|acc   |↑  |0.4248|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.2533|±  |   N/A|
|afrisenti_yor_prompt_2|      1|none  |     0|acc   |↑  |0.4248|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.2533|±  |   N/A|
|afrisenti_yor_prompt_3|      1|none  |     0|acc   |↑  |0.5141|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.5170|±  |   N/A|
|afrisenti_yor_prompt_4|      1|none  |     0|acc   |↑  |0.3805|±  |0.0072|
|                      |       |none  |     0|f1    |↑  |0.3379|±  |   N/A|
|afrisenti_yor_prompt_5|      1|none  |     0|acc   |↑  |0.4454|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.4316|±  |   N/A|
