|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|afrimmlu_direct_fra_prompt_1|      1|none  |     0|acc   |↑  |0.2640|±  |0.0197|
|                            |       |none  |     0|f1    |↑  |0.2517|±  |   N/A|
|afrimmlu_direct_fra_prompt_2|      1|none  |     0|acc   |↑  |0.2540|±  |0.0195|
|                            |       |none  |     0|f1    |↑  |0.2363|±  |   N/A|
|afrimmlu_direct_fra_prompt_3|      1|none  |     0|acc   |↑  |0.2680|±  |0.0198|
|                            |       |none  |     0|f1    |↑  |0.2550|±  |   N/A|
|afrimmlu_direct_fra_prompt_4|      1|none  |     0|acc   |↑  |0.2540|±  |0.0195|
|                            |       |none  |     0|f1    |↑  |0.2480|±  |   N/A|
|afrimmlu_direct_fra_prompt_5|      1|none  |     0|acc   |↑  |0.2660|±  |0.0198|
|                            |       |none  |     0|f1    |↑  |0.2574|±  |   N/A|
|afrimmlu_direct_hau_prompt_1|      1|none  |     0|acc   |↑  |0.2320|±  |0.0189|
|                            |       |none  |     0|f1    |↑  |0.2270|±  |   N/A|
|afrimmlu_direct_hau_prompt_2|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2293|±  |   N/A|
|afrimmlu_direct_hau_prompt_3|      1|none  |     0|acc   |↑  |0.2460|±  |0.0193|
|                            |       |none  |     0|f1    |↑  |0.2377|±  |   N/A|
|afrimmlu_direct_hau_prompt_4|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2315|±  |   N/A|
|afrimmlu_direct_hau_prompt_5|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2337|±  |   N/A|
|afrimmlu_direct_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.2380|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2341|±  |   N/A|
|afrimmlu_direct_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2179|±  |   N/A|
|afrimmlu_direct_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.2380|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2325|±  |   N/A|
|afrimmlu_direct_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2217|±  |   N/A|
|afrimmlu_direct_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.2300|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2254|±  |   N/A|
|afrimmlu_direct_kin_prompt_1|      1|none  |     0|acc   |↑  |0.2320|±  |0.0189|
|                            |       |none  |     0|f1    |↑  |0.2241|±  |   N/A|
|afrimmlu_direct_kin_prompt_2|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2140|±  |   N/A|
|afrimmlu_direct_kin_prompt_3|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2162|±  |   N/A|
|afrimmlu_direct_kin_prompt_4|      1|none  |     0|acc   |↑  |0.2120|±  |0.0183|
|                            |       |none  |     0|f1    |↑  |0.2083|±  |   N/A|
|afrimmlu_direct_kin_prompt_5|      1|none  |     0|acc   |↑  |0.2160|±  |0.0184|
|                            |       |none  |     0|f1    |↑  |0.2056|±  |   N/A|
|afrimmlu_direct_lin_prompt_1|      1|none  |     0|acc   |↑  |0.2560|±  |0.0195|
|                            |       |none  |     0|f1    |↑  |0.2495|±  |   N/A|
|afrimmlu_direct_lin_prompt_2|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2230|±  |   N/A|
|afrimmlu_direct_lin_prompt_3|      1|none  |     0|acc   |↑  |0.2480|±  |0.0193|
|                            |       |none  |     0|f1    |↑  |0.2362|±  |   N/A|
|afrimmlu_direct_lin_prompt_4|      1|none  |     0|acc   |↑  |0.2440|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2433|±  |   N/A|
|afrimmlu_direct_lin_prompt_5|      1|none  |     0|acc   |↑  |0.2440|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2327|±  |   N/A|
|afrimmlu_direct_lug_prompt_1|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2174|±  |   N/A|
|afrimmlu_direct_lug_prompt_2|      1|none  |     0|acc   |↑  |0.2160|±  |0.0184|
|                            |       |none  |     0|f1    |↑  |0.2089|±  |   N/A|
|afrimmlu_direct_lug_prompt_3|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2198|±  |   N/A|
|afrimmlu_direct_lug_prompt_4|      1|none  |     0|acc   |↑  |0.2100|±  |0.0182|
|                            |       |none  |     0|f1    |↑  |0.2024|±  |   N/A|
|afrimmlu_direct_lug_prompt_5|      1|none  |     0|acc   |↑  |0.2180|±  |0.0185|
|                            |       |none  |     0|f1    |↑  |0.2124|±  |   N/A|
|afrimmlu_direct_orm_prompt_1|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2314|±  |   N/A|
|afrimmlu_direct_orm_prompt_2|      1|none  |     0|acc   |↑  |0.2320|±  |0.0189|
|                            |       |none  |     0|f1    |↑  |0.2207|±  |   N/A|
|afrimmlu_direct_orm_prompt_3|      1|none  |     0|acc   |↑  |0.2420|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2326|±  |   N/A|
|afrimmlu_direct_orm_prompt_4|      1|none  |     0|acc   |↑  |0.2640|±  |0.0197|
|                            |       |none  |     0|f1    |↑  |0.2633|±  |   N/A|
|afrimmlu_direct_orm_prompt_5|      1|none  |     0|acc   |↑  |0.2380|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2263|±  |   N/A|
|afrimmlu_direct_sna_prompt_1|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2301|±  |   N/A|
|afrimmlu_direct_sna_prompt_2|      1|none  |     0|acc   |↑  |0.2300|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2228|±  |   N/A|
|afrimmlu_direct_sna_prompt_3|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2314|±  |   N/A|
|afrimmlu_direct_sna_prompt_4|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2265|±  |   N/A|
|afrimmlu_direct_sna_prompt_5|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2271|±  |   N/A|
|afrimmlu_direct_sot_prompt_1|      1|none  |     0|acc   |↑  |0.2320|±  |0.0189|
|                            |       |none  |     0|f1    |↑  |0.2222|±  |   N/A|
|afrimmlu_direct_sot_prompt_2|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2258|±  |   N/A|
|afrimmlu_direct_sot_prompt_3|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2086|±  |   N/A|
|afrimmlu_direct_sot_prompt_4|      1|none  |     0|acc   |↑  |0.2520|±  |0.0194|
|                            |       |none  |     0|f1    |↑  |0.2448|±  |   N/A|
|afrimmlu_direct_sot_prompt_5|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2286|±  |   N/A|
|afrimmlu_direct_swa_prompt_1|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2186|±  |   N/A|
|afrimmlu_direct_swa_prompt_2|      1|none  |     0|acc   |↑  |0.2060|±  |0.0181|
|                            |       |none  |     0|f1    |↑  |0.1971|±  |   N/A|
|afrimmlu_direct_swa_prompt_3|      1|none  |     0|acc   |↑  |0.2140|±  |0.0184|
|                            |       |none  |     0|f1    |↑  |0.2024|±  |   N/A|
|afrimmlu_direct_swa_prompt_4|      1|none  |     0|acc   |↑  |0.2060|±  |0.0181|
|                            |       |none  |     0|f1    |↑  |0.2002|±  |   N/A|
|afrimmlu_direct_swa_prompt_5|      1|none  |     0|acc   |↑  |0.2160|±  |0.0184|
|                            |       |none  |     0|f1    |↑  |0.2053|±  |   N/A|
|afrimmlu_direct_twi_prompt_1|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2218|±  |   N/A|
|afrimmlu_direct_twi_prompt_2|      1|none  |     0|acc   |↑  |0.2520|±  |0.0194|
|                            |       |none  |     0|f1    |↑  |0.2392|±  |   N/A|
|afrimmlu_direct_twi_prompt_3|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2275|±  |   N/A|
|afrimmlu_direct_twi_prompt_4|      1|none  |     0|acc   |↑  |0.2460|±  |0.0193|
|                            |       |none  |     0|f1    |↑  |0.2416|±  |   N/A|
|afrimmlu_direct_twi_prompt_5|      1|none  |     0|acc   |↑  |0.2460|±  |0.0193|
|                            |       |none  |     0|f1    |↑  |0.2329|±  |   N/A|
|afrimmlu_direct_wol_prompt_1|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2213|±  |   N/A|
|afrimmlu_direct_wol_prompt_2|      1|none  |     0|acc   |↑  |0.2240|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2121|±  |   N/A|
|afrimmlu_direct_wol_prompt_3|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2155|±  |   N/A|
|afrimmlu_direct_wol_prompt_4|      1|none  |     0|acc   |↑  |0.2140|±  |0.0184|
|                            |       |none  |     0|f1    |↑  |0.2094|±  |   N/A|
|afrimmlu_direct_wol_prompt_5|      1|none  |     0|acc   |↑  |0.2180|±  |0.0185|
|                            |       |none  |     0|f1    |↑  |0.2100|±  |   N/A|
|afrimmlu_direct_xho_prompt_1|      1|none  |     0|acc   |↑  |0.2700|±  |0.0199|
|                            |       |none  |     0|f1    |↑  |0.2639|±  |   N/A|
|afrimmlu_direct_xho_prompt_2|      1|none  |     0|acc   |↑  |0.2540|±  |0.0195|
|                            |       |none  |     0|f1    |↑  |0.2453|±  |   N/A|
|afrimmlu_direct_xho_prompt_3|      1|none  |     0|acc   |↑  |0.2420|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2303|±  |   N/A|
|afrimmlu_direct_xho_prompt_4|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2241|±  |   N/A|
|afrimmlu_direct_xho_prompt_5|      1|none  |     0|acc   |↑  |0.2520|±  |0.0194|
|                            |       |none  |     0|f1    |↑  |0.2458|±  |   N/A|
|afrimmlu_direct_yor_prompt_1|      1|none  |     0|acc   |↑  |0.2620|±  |0.0197|
|                            |       |none  |     0|f1    |↑  |0.2592|±  |   N/A|
|afrimmlu_direct_yor_prompt_2|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2324|±  |   N/A|
|afrimmlu_direct_yor_prompt_3|      1|none  |     0|acc   |↑  |0.2440|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2347|±  |   N/A|
|afrimmlu_direct_yor_prompt_4|      1|none  |     0|acc   |↑  |0.2380|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2379|±  |   N/A|
|afrimmlu_direct_yor_prompt_5|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2340|±  |   N/A|
|afrimmlu_direct_zul_prompt_1|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2307|±  |   N/A|
|afrimmlu_direct_zul_prompt_2|      1|none  |     0|acc   |↑  |0.2420|±  |0.0192|
|                            |       |none  |     0|f1    |↑  |0.2349|±  |   N/A|
|afrimmlu_direct_zul_prompt_3|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2315|±  |   N/A|
|afrimmlu_direct_zul_prompt_4|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2254|±  |   N/A|
|afrimmlu_direct_zul_prompt_5|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2289|±  |   N/A|
