        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|afrisenti_tir_prompt_1|      1|none  |     0|acc   |↑  |0.4140|±  |0.0110|
|                      |       |none  |     0|f1    |↑  |0.3968|±  |   N/A|
|afrisenti_tir_prompt_2|      1|none  |     0|acc   |↑  |0.5005|±  |0.0112|
|                      |       |none  |     0|f1    |↑  |0.4635|±  |   N/A|
|afrisenti_tir_prompt_3|      1|none  |     0|acc   |↑  |0.4900|±  |0.0112|
|                      |       |none  |     0|f1    |↑  |0.3294|±  |   N/A|
|afrisenti_tir_prompt_4|      1|none  |     0|acc   |↑  |0.5030|±  |0.0112|
|                      |       |none  |     0|f1    |↑  |0.3726|±  |   N/A|
|afrisenti_tir_prompt_5|      1|none  |     0|acc   |↑  |0.4940|±  |0.0112|
|                      |       |none  |     0|f1    |↑  |0.3567|±  |   N/A|
|afrisenti_tso_prompt_1|      1|none  |     0|acc   |↑  |0.3740|±  |0.0304|
|                      |       |none  |     0|f1    |↑  |0.3790|±  |   N/A|
|afrisenti_tso_prompt_2|      1|none  |     0|acc   |↑  |0.4528|±  |0.0313|
|                      |       |none  |     0|f1    |↑  |0.4229|±  |   N/A|
|afrisenti_tso_prompt_3|      1|none  |     0|acc   |↑  |0.5236|±  |0.0314|
|                      |       |none  |     0|f1    |↑  |0.4918|±  |   N/A|
|afrisenti_tso_prompt_4|      1|none  |     0|acc   |↑  |0.4370|±  |0.0312|
|                      |       |none  |     0|f1    |↑  |0.4446|±  |   N/A|
|afrisenti_tso_prompt_5|      1|none  |     0|acc   |↑  |0.4213|±  |0.0310|
|                      |       |none  |     0|f1    |↑  |0.4005|±  |   N/A|
|afrisenti_twi_prompt_1|      1|none  |     0|acc   |↑  |0.3446|±  |0.0154|
|                      |       |none  |     0|f1    |↑  |0.3382|±  |   N/A|
|afrisenti_twi_prompt_2|      1|none  |     0|acc   |↑  |0.4247|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.3993|±  |   N/A|
|afrisenti_twi_prompt_3|      1|none  |     0|acc   |↑  |0.5132|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.4780|±  |   N/A|
|afrisenti_twi_prompt_4|      1|none  |     0|acc   |↑  |0.4310|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.4472|±  |   N/A|
|afrisenti_twi_prompt_5|      1|none  |     0|acc   |↑  |0.4742|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.4419|±  |   N/A|
|afrisenti_yor_prompt_1|      1|none  |     0|acc   |↑  |0.4292|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.3978|±  |   N/A|
|afrisenti_yor_prompt_2|      1|none  |     0|acc   |↑  |0.4390|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.3852|±  |   N/A|
|afrisenti_yor_prompt_3|      1|none  |     0|acc   |↑  |0.3169|±  |0.0069|
|                      |       |none  |     0|f1    |↑  |0.2496|±  |   N/A|
|afrisenti_yor_prompt_4|      1|none  |     0|acc   |↑  |0.3860|±  |0.0072|
|                      |       |none  |     0|f1    |↑  |0.3615|±  |   N/A|
|afrisenti_yor_prompt_5|      1|none  |     0|acc   |↑  |0.3247|±  |0.0070|
|                      |       |none  |     0|f1    |↑  |0.2756|±  |   N/A|
