----------------------,------:,------,-----:,------.1,---,-----:.1,---.1,------.2
afrisenti_por_prompt_3,1.0,none,0,acc,↑,0.4181,±,0.0082
afrisenti_por_prompt_3,,none,0,f1,↑,0.4092,±,
afrisenti_por_prompt_4,1.0,none,0,acc,↑,0.3394,±,0.0078
afrisenti_por_prompt_4,,none,0,f1,↑,0.2543,±,
afrisenti_por_prompt_5,1.0,none,0,acc,↑,0.325,±,0.0077
afrisenti_por_prompt_5,,none,0,f1,↑,0.2158,±,
afrisenti_swa_prompt_1,1.0,none,0,acc,↑,0.2995,±,0.0168
afrisenti_swa_prompt_1,,none,0,f1,↑,0.138,±,
afrisenti_swa_prompt_2,1.0,none,0,acc,↑,0.2995,±,0.0168
afrisenti_swa_prompt_2,,none,0,f1,↑,0.138,±,
afrisenti_swa_prompt_3,1.0,none,0,acc,↑,0.5348,±,0.0182
afrisenti_swa_prompt_3,,none,0,f1,↑,0.5119,±,
afrisenti_swa_prompt_4,1.0,none,0,acc,↑,0.4425,±,0.0182
afrisenti_swa_prompt_4,,none,0,f1,↑,0.4602,±,
afrisenti_swa_prompt_5,1.0,none,0,acc,↑,0.4291,±,0.0181
afrisenti_swa_prompt_5,,none,0,f1,↑,0.4383,±,
afrisenti_tir_prompt_1,1.0,none,0,acc,↑,0.3215,±,0.0104
afrisenti_tir_prompt_1,,none,0,f1,↑,0.1564,±,
afrisenti_tir_prompt_2,1.0,none,0,acc,↑,0.3215,±,0.0104
afrisenti_tir_prompt_2,,none,0,f1,↑,0.1564,±,
afrisenti_tir_prompt_3,1.0,none,0,acc,↑,0.321,±,0.0104
afrisenti_tir_prompt_3,,none,0,f1,↑,0.232,±,
afrisenti_tir_prompt_4,1.0,none,0,acc,↑,0.483,±,0.0112
afrisenti_tir_prompt_4,,none,0,f1,↑,0.4425,±,
afrisenti_tir_prompt_5,1.0,none,0,acc,↑,0.4615,±,0.0111
afrisenti_tir_prompt_5,,none,0,f1,↑,0.4198,±,
afrisenti_tso_prompt_1,1.0,none,0,acc,↑,0.4764,±,0.0314
afrisenti_tso_prompt_1,,none,0,f1,↑,0.3074,±,
afrisenti_tso_prompt_2,1.0,none,0,acc,↑,0.4764,±,0.0314
afrisenti_tso_prompt_2,,none,0,f1,↑,0.3074,±,
afrisenti_tso_prompt_3,1.0,none,0,acc,↑,0.4528,±,0.0313
afrisenti_tso_prompt_3,,none,0,f1,↑,0.457,±,
afrisenti_tso_prompt_4,1.0,none,0,acc,↑,0.4331,±,0.0312
afrisenti_tso_prompt_4,,none,0,f1,↑,0.398,±,
afrisenti_tso_prompt_5,1.0,none,0,acc,↑,0.5354,±,0.0314
afrisenti_tso_prompt_5,,none,0,f1,↑,0.466,±,
afrisenti_twi_prompt_1,1.0,none,0,acc,↑,0.4742,±,0.0162
afrisenti_twi_prompt_1,,none,0,f1,↑,0.3051,±,
afrisenti_twi_prompt_2,1.0,none,0,acc,↑,0.4742,±,0.0162
afrisenti_twi_prompt_2,,none,0,f1,↑,0.3051,±,
afrisenti_twi_prompt_3,1.0,none,0,acc,↑,0.3699,±,0.0157
afrisenti_twi_prompt_3,,none,0,f1,↑,0.3928,±,
afrisenti_twi_prompt_4,1.0,none,0,acc,↑,0.4015,±,0.0159
afrisenti_twi_prompt_4,,none,0,f1,↑,0.4316,±,
afrisenti_twi_prompt_5,1.0,none,0,acc,↑,0.5026,±,0.0162
afrisenti_twi_prompt_5,,none,0,f1,↑,0.4646,±,
afrisenti_yor_prompt_1,1.0,none,0,acc,↑,0.4248,±,0.0074
afrisenti_yor_prompt_1,,none,0,f1,↑,0.2533,±,
afrisenti_yor_prompt_2,1.0,none,0,acc,↑,0.4248,±,0.0074
afrisenti_yor_prompt_2,,none,0,f1,↑,0.2541,±,
afrisenti_yor_prompt_3,1.0,none,0,acc,↑,0.4762,±,0.0074
afrisenti_yor_prompt_3,,none,0,f1,↑,0.4697,±,
afrisenti_yor_prompt_4,1.0,none,0,acc,↑,0.4427,±,0.0074
afrisenti_yor_prompt_4,,none,0,f1,↑,0.4432,±,
afrisenti_yor_prompt_5,1.0,none,0,acc,↑,0.4786,±,0.0074
afrisenti_yor_prompt_5,,none,0,f1,↑,0.4439,±,
